Fecha,Hora,Host,Bajada,Subida
22-02-2022,00:37:32,ookla.wmax.cl:8080,173.31,33.92
22-02-2022,00:38:31,ookla.wmax.cl:8080,93.95,11.74
22-02-2022,00:39:32,ookla.wmax.cl:8080,175.26,46.69
22-02-2022,00:40:31,ookla.wmax.cl:8080,208.43,36.51
22-02-2022,00:41:32,ookla.wmax.cl:8080,116.99,25.88
22-02-2022,00:42:32,ookla.wmax.cl:8080,180.69,33.54
22-02-2022,00:43:32,ookla.wmax.cl:8080,141.8,17.08
22-02-2022,00:44:32,ookla.wmax.cl:8080,156.06,15.81
22-02-2022,00:45:31,ookla.wmax.cl:8080,150.7,13.12
22-02-2022,00:46:32,ookla.wmax.cl:8080,161.18,40.52
22-02-2022,00:47:32,ookla.wmax.cl:8080,130.67,17.27
